"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 20 17:55:12 UTC 2026","Tue Jan 20 17:55:13 UTC 2026","660","","test_form","","","","Тест на авторизацию с валидными данными","Проверка, что система корректно осуществляет вход при вводе правильного логина/пароля."
"passed","Tue Jan 20 17:55:11 UTC 2026","Tue Jan 20 17:55:12 UTC 2026","691","","test_form","","","","Тест на авторизацию с неверными данными","Проверка, что система корректно показывает ошибку при вводе неправильного логина/пароля."
